
Image Name                     PID Session Name        Session#    Mem Usage
svchost.exe                   4852 Services                   0     10,104 K
HPCommRecovery.exe           12044 Services                   0     18,736 K
HPJumpStartBridge.exe        18412 Services                   0      9,636 K
HPSupportSolutionsFramewo     1656 Services                   0     32,900 K
IAStorDataMgrSvc.exe          3872 Services                   0      5,280 K
jhi_service.exe               7256 Services                   0      2,600 K
sedsvc.exe                   13664 Services                   0     10,176 K
SgrmBroker.exe                4768 Services                   0      5,404 K
svchost.exe                   9180 Services                   0      7,092 K
svchost.exe                   7556 Services                   0      6,544 K
svchost.exe                  18012 Services                   0     13,936 K
svchost.exe                  15824 Services                   0     11,456 K
svchost.exe                  16436 Services                   0      2,944 K
svchost.exe                   1632 Services                   0      3,424 K
svchost.exe                   9820 Services                   0      4,108 K
svchost.exe                  20092 Services                   0      5,036 K
svchost.exe                  10512 Services                   0      6,180 K
svchost.exe                  23320 Services                   0      5,100 K
conhost.exe                  14124 Services                   0      3,084 K
esrv.exe                     17780 Services                   0     13,488 K
HPWMISVC.exe                 19764 Services                   0      4,152 K
sedlauncher.exe              21844 Services                   0      4,468 K
conhost.exe                  21456 Services                   0        580 K
svchost.exe                   8432 Services                   0     14,856 K
csrss.exe                    25420 Console                    6      5,548 K
winlogon.exe                 13056 Console                    6      7,252 K
dwm.exe                      19944 Console                    6     76,604 K
fontdrvhost.exe              10024 Console                    6     10,052 K
Supremo.exe                  16156 Console                    6     19,332 K
g2tray.exe                   20888 Console                    6     16,388 K
svchost.exe                  25556 Services                   0      4,616 K
dptf_helper.exe              12804 Console                    6      3,140 K
sihost.exe                   15524 Console                    6     25,072 K
svchost.exe                  22860 Console                    6     21,660 K
svchost.exe                  16812 Console                    6     37,304 K
taskhostw.exe                19584 Console                    6     73,068 K
HPJumpStartLaunch.exe        18756 Console                    6      1,068 K
taskhostw.exe                24796 Console                    6      1,912 K
igfxEM.exe                    4432 Console                    6     19,816 K
explorer.exe                 16488 Console                    6    129,328 K
svchost.exe                  19080 Services                   0      5,956 K
SynTPEnh.exe                 21088 Console                    6     17,024 K
SynTPHelper.exe              19980 Console                    6      3,620 K
ShellExperienceHost.exe      11760 Console                    6     63,512 K
SearchUI.exe                  9008 Console                    6     91,244 K
RuntimeBroker.exe            24776 Console                    6     22,028 K
RuntimeBroker.exe            23784 Console                    6     17,868 K
RuntimeBroker.exe            25492 Console                    6     29,352 K
SkypeBackgroundHost.exe      19440 Console                    6      2,724 K
SettingSyncHost.exe           6128 Console                    6      7,740 K
ctfmon.exe                     672 Console                    6     14,980 K
TabTip.exe                   10016 Console                    6     13,108 K
SupremoHelper.exe            15276 Console                    6     13,208 K
svchost.exe                  22064 Services                   0      7,608 K
svchost.exe                  19368 Console                    6     16,512 K
SkypeApp.exe                 20848 Console                    6     17,536 K
MSASCuiL.exe                  8332 Console                    6      7,756 K
RtkAudUService64.exe          2164 Console                    6      8,268 K
OneDrive.exe                 17996 Console                    6     37,084 K
RuntimeBroker.exe             6400 Console                    6     15,996 K
chrome.exe                   13476 Console                    6    112,212 K
GoogleCrashHandler.exe        2916 Console                    6      1,128 K
chrome.exe                   15100 Console                    6      5,396 K
GoogleCrashHandler64.exe     11112 Console                    6        740 K
dllhost.exe                  13356 Console                    6     12,984 K
MSOSYNC.EXE                  18444 Console                    6     10,784 K
chrome.exe                   22088 Console                    6     31,584 K
chrome.exe                   14796 Console                    6     30,088 K
chrome.exe                   18672 Console                    6     11,924 K
chrome.exe                   20700 Console                    6     43,748 K
chrome.exe                    8560 Console                    6     39,844 K
chrome.exe                   10680 Console                    6     41,124 K
chrome.exe                    1596 Console                    6     29,756 K
chrome.exe                    7672 Console                    6     30,036 K
chrome.exe                   10652 Console                    6     21,556 K
chrome.exe                   23248 Console                    6     54,040 K
ciscowebexstart.exe          21036 Console                    6     14,972 K
MEGAsync.exe                 12764 Console                    6     35,436 K
HPMSGSVC.exe                   760 Console                    6      7,208 K
atmgr.exe                     4920 Console                    6     40,768 K
RtlS5Wake.exe                25480 Console                    6     11,812 K
GROOVE.EXE                   12944 Console                    6     35,980 K
DSATray.exe                  14488 Console                    6     40,792 K
vmware-tray.exe              21076 Console                    6      6,224 K
jusched.exe                  23740 Console                    6     10,920 K
chrome.exe                   25284 Console                    6     12,488 K
ModuleCoreService.exe        26260 Console                    6     17,000 K
conhost.exe                  20812 Console                    6      4,364 K
HPAudioSwitch.exe            25872 Console                    6     35,964 K
chrome.exe                   10464 Console                    6     16,284 K
esrv_svc.exe                  6028 Services                   0     40,868 K
hpqwmiex.exe                   844 Services                   0      8,424 K
McUICnt.exe                   9280 Console                    6     28,832 K
jucheck.exe                  22580 Console                    6     11,764 K
dllhost.exe                  10784 Console                    6      5,912 K
ApplicationFrameHost.exe     26556 Console                    6     46,512 K
Code.exe                     26276 Console                    6     71,632 K
Code.exe                     11312 Console                    6      9,436 K
Code.exe                     16260 Console                    6    153,240 K
Code.exe                     12716 Console                    6     20,448 K
Code.exe                      1964 Console                    6     55,852 K
Code.exe                     26528 Console                    6    159,216 K
winpty-agent.exe             25328 Console                    6      5,000 K
conhost.exe                  25836 Console                    6      8,152 K
cmd.exe                      23688 Console                    6      2,568 K
Code.exe                     10436 Console                    6     71,132 K
CodeHelper.exe               23600 Console                    6     13,692 K
conhost.exe                   3480 Console                    6      4,904 K
Code.exe                     19812 Console                    6     20,592 K
python.exe                   14008 Console                    6     38,812 K
conhost.exe                   1292 Console                    6      4,868 K
python.exe                   26452 Console                    6     11,620 K
conhost.exe                  25808 Console                    6      4,836 K
winpty-agent.exe             15480 Console                    6      7,380 K
conhost.exe                  12656 Console                    6      9,052 K
cmd.exe                      10932 Console                    6      3,704 K
python.exe                   25844 Console                    6     22,648 K
conhost.exe                  10496 Console                    6      8,400 K
WinStore.App.exe             16052 Console                    6     77,900 K
RuntimeBroker.exe            12972 Console                    6     22,564 K
MicrosoftEdge.exe            24628 Console                    6     92,720 K
browser_broker.exe           10352 Console                    6     15,400 K
RuntimeBroker.exe             8736 Console                    6     27,964 K
MicrosoftEdgeCP.exe           5616 Console                    6    673,624 K
MicrosoftEdgeCP.exe          10532 Console                    6     25,976 K
Video.UI.exe                 21660 Console                    6     37,728 K
SystemSettings.exe            8916 Console                    6     45,244 K
audiodg.exe                   8904 Services                   0     53,600 K
Calculator.exe                9004 Console                    6     43,312 K
Maps.exe                     11528 Console                    6     79,380 K
RuntimeBroker.exe            17992 Console                    6     12,564 K
svchost.exe                  13136 Services                   0     24,636 K
PickerHost.exe                1700 Console                    6     22,456 K
python.exe                   14724 Console                    6     23,300 K
conhost.exe                   3568 Console                    6      9,576 K
MicrosoftEdgeCP.exe           1064 Console                    6    125,868 K
MicrosoftEdgeCP.exe           6396 Console                    6     25,532 K
MicrosoftEdgeCP.exe          24304 Console                    6     25,716 K
Code.exe                     11360 Console                    6     50,620 K
Code.exe                     20448 Console                    6     25,036 K
python.exe                   14660 Console                    6     10,220 K
tasklist.exe                 14216 Console                    6      7,548 K
