
Image Name                     PID Session Name        Session#    Mem Usage
StartMenuExperienceHost.e    11116 Console                    2     52,012 K
RuntimeBroker.exe             2800 Console                    2     15,324 K
SearchApp.exe                 3972 Console                    2    139,192 K
RuntimeBroker.exe             9900 Console                    2     23,180 K
YourPhone.exe                 8724 Console                    2      1,652 K
RuntimeBroker.exe             9412 Console                    2     14,672 K
RuntimeBroker.exe            12536 Console                    2      9,344 K
RtkNGUI64.exe                 1968 Console                    2     10,400 K
RAVBg64.exe                  10640 Console                    2      9,228 K
WavesSvc64.exe                2352 Console                    2      9,360 K
AvastUI.exe                   6668 Console                    2     36,492 K
startUp.exe                  13228 Console                    2      2,216 K
SPUpDateServer.exe           10792 Console                    2      5,644 K
ApplicationFrameHost.exe     12868 Console                    2     22,400 K
WinStore.App.exe              1076 Console                    2      1,488 K
RuntimeBroker.exe             2868 Console                    2      7,844 K
UserOOBEBroker.exe            6492 Console                    2      6,712 K
svchost.exe                   5844 Console                    2     17,088 K
Video.UI.exe                  8188 Console                    2      1,732 K
RuntimeBroker.exe            12316 Console                    2      4,924 K
Skype.exe                     8028 Console                    2     67,128 K
Skype.exe                     9460 Console                    2      5,600 K
Skype.exe                     6620 Console                    2     53,140 K
Skype.exe                    12320 Console                    2     18,504 K
Skype.exe                    11692 Console                    2    120,360 K
Skype.exe                     9968 Console                    2     10,352 K
chrome.exe                    9536 Console                    2    281,584 K
chrome.exe                   10296 Console                    2      5,192 K
chrome.exe                    4524 Console                    2     61,776 K
chrome.exe                    1100 Console                    2     41,436 K
chrome.exe                    6256 Console                    2     10,412 K
chrome.exe                    8628 Console                    2     23,844 K
chrome.exe                    9816 Console                    2     61,620 K
chrome.exe                   11156 Console                    2     33,144 K
chrome.exe                   10492 Console                    2     19,652 K
TextInputHost.exe             8700 Console                    2     18,868 K
chrome.exe                    7920 Console                    2     12,620 K
chrome.exe                    3012 Console                    2     28,072 K
chrome.exe                   10400 Console                    2     28,328 K
chrome.exe                   12056 Console                    2     35,256 K
chrome.exe                   11004 Console                    2     25,936 K
chrome.exe                    5332 Console                    2     10,644 K
CompPkgSrv.exe               13280 Console                    2      6,208 K
AvastUI.exe                  10936 Console                    2     15,692 K
AvastUI.exe                  10960 Console                    2     17,752 K
dllhost.exe                   4168 Console                    2      8,272 K
ShellExperienceHost.exe        548 Console                    2     56,204 K
RuntimeBroker.exe            12696 Console                    2     29,364 K
ZapyaService.exe             12076 Services                   0      7,212 K
svchost.exe                   2164 Services                   0      4,456 K
ZapyaAdaptor.exe             13304 Console                    2     17,940 K
svchost.exe                  10796 Services                   0      4,472 K
Microsoft.Photos.exe         11084 Console                    2      2,060 K
RuntimeBroker.exe             4936 Console                    2     19,904 K
svchost.exe                  13096 Console                    2     12,908 K
svchost.exe                  12776 Console                    2      8,376 K
SystemSettingsBroker.exe     12848 Console                    2     29,644 K
chrome.exe                   12188 Console                    2     31,052 K
chrome.exe                    7236 Console                    2     39,736 K
chrome.exe                   11980 Console                    2     44,720 K
chrome.exe                   13088 Console                    2    118,696 K
chrome.exe                     484 Console                    2     33,780 K
chrome.exe                    9888 Console                    2     42,404 K
chrome.exe                    9016 Console                    2     42,876 K
chrome.exe                    5180 Console                    2     39,540 K
chrome.exe                     448 Console                    2     40,972 K
wlanext.exe                   9160 Services                   0      5,464 K
conhost.exe                   6292 Services                   0      5,180 K
SystemSettings.exe            7104 Console                    2      1,468 K
audiodg.exe                  11652 Services                   0     19,436 K
cmd.exe                       6416 Console                    2      3,604 K
conhost.exe                   9548 Console                    2      6,992 K
IDMMsgHost.exe               11488 Console                    2      3,340 K
svchost.exe                   5016 Services                   0      5,376 K
LockApp.exe                  14756 Console                    2     48,436 K
RuntimeBroker.exe            14956 Console                    2     32,080 K
chrome.exe                   14280 Console                    2     51,588 K
chrome.exe                    2776 Console                    2     46,252 K
chrome.exe                    6136 Console                    2     58,172 K
chrome.exe                   11248 Console                    2     58,156 K
chrome.exe                   11564 Console                    2     74,044 K
chrome.exe                   15608 Console                    2    160,308 K
chrome.exe                    9332 Console                    2     40,752 K
chrome.exe                    1096 Console                    2     55,628 K
Zoom.exe                     11944 Console                    2     49,900 K
Zoom.exe                     15760 Console                    2    172,420 K
ZoomOutlookIMPlugin.exe       6696 Console                    2     11,596 K
CptHost.exe                   7724 Console                    2     55,116 K
chrome.exe                   10768 Console                    2     35,776 K
notepad.exe                   2872 Console                    2     17,320 K
Code.exe                      8296 Console                    2     71,912 K
Code.exe                     14556 Console                    2     21,688 K
Code.exe                      6844 Console                    2    263,908 K
Code.exe                      6528 Console                    2     35,392 K
Code.exe                      9052 Console                    2    195,084 K
conhost.exe                   1736 Console                    2      6,636 K
cmd.exe                      14052 Console                    2      4,548 K
Code.exe                      8076 Console                    2    108,508 K
Code.exe                     16180 Console                    2     80,080 K
CodeHelper.exe               16096 Console                    2     15,256 K
conhost.exe                  16256 Console                    2      5,384 K
Code.exe                     14736 Console                    2     59,668 K
Code.exe                     13492 Console                    2     85,384 K
python.exe                    7624 Console                    2     51,372 K
conhost.exe                  11120 Console                    2      5,408 K
Code.exe                      6224 Console                    2     62,264 K
conhost.exe                   4376 Console                    2      6,828 K
cmd.exe                      14772 Console                    2      5,424 K
python.exe                    9428 Console                    2     24,740 K
conhost.exe                  13028 Console                    2     11,348 K
conhost.exe                  11492 Console                    2      7,232 K
cmd.exe                      14116 Console                    2      5,536 K
WmiPrvSE.exe                  4268 Services                   0     11,632 K
SearchProtocolHost.exe       15148 Services                   0     13,480 K
SearchFilterHost.exe         14528 Services                   0      7,636 K
chrome.exe                   12680 Console                    2     23,988 K
chrome.exe                    3348 Console                    2     39,664 K
chrome.exe                   14984 Console                    2     74,484 K
python.exe                    6168 Console                    2     10,388 K
tasklist.exe                 15660 Console                    2     10,800 K
