
Image Name                     PID Session Name        Session#    Mem Usage
svchost.exe                   3132 Console                    1     32,736 K
svchost.exe                   2476 Console                    1      4,412 K
WTabletServiceISD.exe         3200 Console                    1      9,292 K
svchost.exe                   5080 Console                    1     46,176 K
igfxEM.exe                    5620 Console                    1     21,620 K
taskhostw.exe                 8512 Console                    1     19,556 K
svchost.exe                   8456 Services                   0     17,888 K
SynTPEnh.exe                  2700 Console                    1     14,808 K
explorer.exe                  1164 Console                    1    211,736 K
svchost.exe                   3424 Console                    1     28,536 K
SynTPHelper.exe               8340 Console                    1      2,100 K
svchost.exe                   5240 Services                   0     11,896 K
svchost.exe                   2784 Console                    1     29,828 K
svchost.exe                   8328 Services                   0      8,796 K
ApplicationFrameHost.exe      1212 Console                    1     33,356 K
Microsoft.Notes.exe           2868 Console                    1     41,920 K
RuntimeBroker.exe             4704 Console                    1     10,024 K
StartMenuExperienceHost.e     9264 Console                    1     62,816 K
PowerMgr.exe                  9364 Console                    1      3,708 K
RuntimeBroker.exe             9444 Console                    1     20,200 K
RuntimeBroker.exe             9956 Console                    1     48,916 K
svchost.exe                  10220 Services                   0     16,532 K
ctfmon.exe                   10488 Console                    1     23,476 K
SettingSyncHost.exe          10500 Console                    1      8,300 K
TabTip.exe                   10512 Console                    1     10,096 K
RuntimeBroker.exe            10832 Console                    1     25,704 K
TextInputHost.exe            11184 Console                    1     17,884 K
igfxext.exe                   1640 Console                    1      5,504 K
dllhost.exe                  11664 Console                    1     11,784 K
SecurityHealthSystray.exe     4532 Console                    1      4,892 K
SecurityHealthService.exe     3536 Services                   0      8,464 K
OneDrive.exe                 11536 Console                    1     42,088 K
RtkAudUService64.exe         10328 Console                    1      3,036 K
slack.exe                    12508 Console                    1     58,272 K
browser_assistant.exe        12572 Console                    1     12,100 K
browser_assistant.exe        12628 Console                    1      3,524 K
unsecapp.exe                 12872 Console                    1      2,520 K
slack.exe                    13024 Console                    1     15,864 K
slack.exe                    13172 Console                    1     21,204 K
slack.exe                    12304 Console                    1      6,056 K
slack.exe                    12392 Console                    1    101,904 K
Dropbox.exe                  13780 Console                    1     70,916 K
Dropbox.exe                  13820 Console                    1      3,324 K
Dropbox.exe                  13924 Console                    1      4,040 K
svchost.exe                   8500 Services                   0     10,632 K
QtWebEngineProcess.exe       13696 Console                    1     22,748 K
QtWebEngineProcess.exe       13708 Console                    1      8,176 K
Calculator.exe               14504 Console                    1     19,592 K
UserOOBEBroker.exe           11076 Console                    1      4,932 K
CompPkgSrv.exe                7296 Console                    1      5,652 K
svchost.exe                   1028 Services                   0      3,072 K
svchost.exe                  15376 Services                   0      3,964 K
LockApp.exe                   9832 Console                    1     37,276 K
RuntimeBroker.exe            14684 Console                    1     37,428 K
msedge.exe                   13728 Console                    1     84,516 K
msedge.exe                   17012 Console                    1      6,824 K
msedge.exe                   18072 Console                    1     56,524 K
msedge.exe                   18048 Console                    1     31,552 K
msedge.exe                   14728 Console                    1     18,992 K
msedge.exe                   11328 Console                    1     32,224 K
ShellExperienceHost.exe      16324 Console                    1     54,252 K
RuntimeBroker.exe             8696 Console                    1     31,208 K
cmd.exe                       8452 Console                    1      4,104 K
conhost.exe                   7724 Console                    1     10,904 K
svchost.exe                  14184 Services                   0      9,088 K
Zoom.exe                     20588 Console                    1     69,600 K
WhatsApp.exe                 18472 Console                    1    100,256 K
WhatsApp.exe                 20532 Console                    1     25,864 K
WhatsApp.exe                 21484 Console                    1    125,736 K
WhatsApp.exe                  1508 Console                    1     36,864 K
WhatsApp.exe                 10444 Console                    1    163,668 K
WhatsApp.exe                 13532 Console                    1     34,184 K
dllhost.exe                  25536 Console                    1     23,156 K
cmd.exe                       5308 Console                    1      3,836 K
conhost.exe                  25984 Console                    1     10,696 K
msedge.exe                   26376 Console                    1     42,820 K
Skype.exe                    11140 Console                    1     53,576 K
Skype.exe                    23944 Console                    1     25,344 K
Skype.exe                     7852 Console                    1     36,796 K
RuntimeBroker.exe             8684 Console                    1      9,720 K
Skype.exe                    23596 Console                    1     36,508 K
Skype.exe                     1184 Console                    1    163,940 K
Skype.exe                    17836 Console                    1     25,024 K
RuntimeBroker.exe            18508 Console                    1     16,328 K
msedge.exe                   10408 Console                    1     43,980 K
cmd.exe                      22300 Console                    1      4,244 K
conhost.exe                  18776 Console                    1     11,916 K
svchost.exe                   1148 Services                   0      7,444 K
cmd.exe                      17748 Console                    1      4,020 K
