
Image Name                     PID Session Name        Session#    Mem Usage
========================= ======== ================ =========== ============
System Idle Process              0 Services                   0          8 K
System                           4 Services                   0        100 K
Secure System                   56 Services                   0     30,332 K
Registry                       108 Services                   0     52,336 K
smss.exe                       412 Services                   0      1,040 K
csrss.exe                      688 Services                   0      4,284 K
wininit.exe                    804 Services                   0      3,952 K
services.exe                   944 Services                   0      7,304 K
LsaIso.exe                     964 Services                   0      1,528 K
lsass.exe                      972 Services                   0     18,100 K
svchost.exe                    632 Services                   0     28,896 K
fontdrvhost.exe                  8 Services                   0      1,272 K
WUDFHost.exe                  1032 Services                   0      7,676 K
svchost.exe                   1172 Services                   0     14,456 K
svchost.exe                   1224 Services                   0      6,264 K
svchost.exe                   1388 Services                   0      3,152 K
svchost.exe                   1400 Services                   0      4,872 K
svchost.exe                   1408 Services                   0      7,356 K
svchost.exe                   1424 Services                   0      2,244 K
svchost.exe                   1504 Services                   0      6,916 K
svchost.exe                   1516 Services                   0      5,900 K
IntelCpHDCPSvc.exe            1624 Services                   0      2,728 K
svchost.exe                   1676 Services                   0     10,980 K
IntelCpHeciSvc.exe            1832 Services                   0      2,784 K
svchost.exe                   1844 Services                   0      6,248 K
svchost.exe                   1852 Services                   0      6,688 K
atiesrxx.exe                  1896 Services                   0      2,692 K
amdlogsr.exe                  1904 Services                   0      2,724 K
svchost.exe                   1912 Services                   0      5,008 K
svchost.exe                   1768 Services                   0     10,668 K
svchost.exe                   2060 Services                   0      9,232 K
svchost.exe                   2088 Services                   0      4,244 K
svchost.exe                   2172 Services                   0      8,828 K
wsc_proxy.exe                 2184 Services                   0      8,892 K
svchost.exe                   2192 Services                   0      4,464 K
svchost.exe                   2212 Services                   0      7,932 K
svchost.exe                   2224 Services                   0      2,824 K
svchost.exe                   2320 Services                   0      7,052 K
Memory Compression            2360 Services                   0    324,668 K
svchost.exe                   2448 Services                   0      6,500 K
igfxCUIService.exe            2492 Services                   0      4,828 K
svchost.exe                   2536 Services                   0      7,760 K
svchost.exe                   2576 Services                   0     15,856 K
svchost.exe                   2660 Services                   0      6,100 K
svchost.exe                   2676 Services                   0      4,384 K
svchost.exe                   2752 Services                   0     16,888 K
svchost.exe                   2860 Services                   0      6,436 K
svchost.exe                   2932 Services                   0      3,016 K
svchost.exe                   2984 Services                   0      9,644 K
svchost.exe                   3016 Services                   0     11,172 K
RtkAudioService64.exe         3048 Services                   0      3,892 K
svchost.exe                   3184 Services                   0      2,568 K
svchost.exe                   3252 Services                   0      3,728 K
svchost.exe                   3260 Services                   0      5,744 K
svchost.exe                   3268 Services                   0      7,032 K
svchost.exe                   3460 Services                   0      4,736 K
svchost.exe                   3576 Services                   0     12,348 K
svchost.exe                   3628 Services                   0      8,580 K
AvastSvc.exe                  3644 Services                   0     55,188 K
wlanext.exe                   3724 Services                   0      2,460 K
conhost.exe                   3732 Services                   0      2,016 K
aswToolsSvc.exe               3832 Services                   0    125,312 K
spoolsv.exe                   3916 Services                   0     12,464 K
svchost.exe                   4020 Services                   0      3,664 K
svchost.exe                   3212 Services                   0     11,980 K
svchost.exe                   3216 Services                   0     38,556 K
esif_uf.exe                   3336 Services                   0      4,192 K
svchost.exe                   3496 Services                   0     11,644 K
ibtsiva.exe                   3308 Services                   0      2,564 K
svchost.exe                   3592 Services                   0     26,412 K
OneApp.IGCC.WinService.ex     4060 Services                   0      7,272 K
AnyDesk.exe                   4108 Services                   0      6,168 K
svchost.exe                   4156 Services                   0      3,960 K
svchost.exe                   4168 Services                   0     16,260 K
armsvc.exe                    4176 Services                   0     15,340 K
svchost.exe                   4184 Services                   0      2,524 K
ZapyaService.exe              4196 Services                   0     11,044 K
OfficeClickToRun.exe          4204 Services                   0     23,784 K
WavesSysSvc64.exe             4216 Services                   0      2,732 K
Lavasoft.WCAssistant.WinS     4228 Services                   0      9,084 K
svchost.exe                   4240 Services                   0      2,492 K
svchost.exe                   4360 Services                   0      9,236 K
svchost.exe                   4420 Services                   0      3,032 K
svchost.exe                   4580 Services                   0      6,660 K
svchost.exe                   4660 Services                   0      2,300 K
