
Image Name                     PID Session Name        Session#    Mem Usage
svchost.exe                   4852 Services                   0     11,064 K
HPCommRecovery.exe           12044 Services                   0     18,276 K
HPJumpStartBridge.exe        18412 Services                   0     11,276 K
HPSupportSolutionsFramewo     1656 Services                   0     17,600 K
IAStorDataMgrSvc.exe          3872 Services                   0     14,720 K
jhi_service.exe               7256 Services                   0      3,140 K
sedsvc.exe                   13664 Services                   0      9,000 K
SgrmBroker.exe                4768 Services                   0      4,756 K
svchost.exe                   9180 Services                   0      6,680 K
svchost.exe                   7556 Services                   0      7,088 K
svchost.exe                  18012 Services                   0     12,684 K
svchost.exe                  15824 Services                   0     11,824 K
svchost.exe                  16436 Services                   0      4,500 K
svchost.exe                   1632 Services                   0      3,528 K
svchost.exe                   9820 Services                   0      4,192 K
svchost.exe                  20092 Services                   0      5,760 K
svchost.exe                  10512 Services                   0      6,560 K
sedlauncher.exe              12792 Services                   0      3,620 K
conhost.exe                   2000 Services                   0      1,008 K
svchost.exe                  23320 Services                   0      6,480 K
csrss.exe                    11120 Console                    3      4,780 K
winlogon.exe                  9740 Console                    3      6,696 K
dwm.exe                      10816 Console                    3     75,912 K
fontdrvhost.exe              17816 Console                    3      8,308 K
Supremo.exe                  24408 Console                    3     16,448 K
g2tray.exe                    6684 Console                    3     13,992 K
svchost.exe                   4136 Services                   0      5,960 K
conhost.exe                  14124 Services                   0      4,040 K
esrv.exe                     17780 Services                   0     15,012 K
dptf_helper.exe              16824 Console                    3      2,816 K
SynTPEnh.exe                 16600 Console                    3     12,376 K
sihost.exe                   22992 Console                    3     23,328 K
svchost.exe                  14112 Console                    3     20,624 K
McUICnt.exe                  23204 Console                    3     16,264 K
svchost.exe                  17552 Console                    3     28,492 K
igfxEM.exe                   24296 Console                    3     15,752 K
HPJumpStartLaunch.exe        15160 Console                    3      1,020 K
taskhostw.exe                20268 Console                    3     19,848 K
SynTPHelper.exe              14000 Console                    3      3,132 K
explorer.exe                  8744 Console                    3    139,176 K
svchost.exe                  16692 Services                   0      5,340 K
ShellExperienceHost.exe      14188 Console                    3     65,696 K
SearchUI.exe                 17700 Console                    3     92,168 K
RuntimeBroker.exe             8324 Console                    3     29,028 K
SupremoHelper.exe            18856 Console                    3      9,564 K
RuntimeBroker.exe            24804 Console                    3     23,604 K
RuntimeBroker.exe             4348 Console                    3     27,444 K
SettingSyncHost.exe           9896 Console                    3      3,312 K
ctfmon.exe                    8148 Console                    3     14,108 K
TabTip.exe                   10568 Console                    3     11,752 K
SkypeApp.exe                 16060 Console                    3     11,964 K
LockApp.exe                  20908 Console                    3     35,508 K
RuntimeBroker.exe            21672 Console                    3     19,848 K
SkypeBackgroundHost.exe      13480 Console                    3      8,780 K
RuntimeBroker.exe             6580 Console                    3     14,572 K
MSASCuiL.exe                 13608 Console                    3      6,336 K
RtkAudUService64.exe          1388 Console                    3     11,456 K
OneDrive.exe                  5772 Console                    3     30,432 K
chrome.exe                   19436 Console                    3    188,096 K
chrome.exe                   14028 Console                    3      4,796 K
GoogleCrashHandler.exe        8352 Console                    3      1,132 K
GoogleCrashHandler64.exe     14608 Console                    3        792 K
MSOSYNC.EXE                  19240 Console                    3     10,108 K
chrome.exe                   16472 Console                    3    127,260 K
chrome.exe                    6872 Console                    3     45,108 K
chrome.exe                   17576 Console                    3     12,212 K
chrome.exe                   21676 Console                    3     57,828 K
chrome.exe                    2868 Console                    3     64,248 K
chrome.exe                    3940 Console                    3     47,328 K
chrome.exe                   17604 Console                    3     29,684 K
chrome.exe                   18552 Console                    3     25,276 K
ciscowebexstart.exe           5288 Console                    3     12,064 K
chrome.exe                   14724 Console                    3     14,924 K
chrome.exe                    9628 Console                    3     67,872 K
atmgr.exe                    15924 Console                    3     30,692 K
MEGAsync.exe                 19952 Console                    3     28,780 K
HPMSGSVC.exe                 16596 Console                    3      6,272 K
RtlS5Wake.exe                19280 Console                    3      8,744 K
DSATray.exe                   9560 Console                    3     37,580 K
GROOVE.EXE                   15508 Console                    3     31,376 K
vmware-tray.exe              18860 Console                    3      5,160 K
jusched.exe                    428 Console                    3      8,952 K
chrome.exe                   14832 Console                    3     13,388 K
ApplicationFrameHost.exe     24240 Console                    3     35,996 K
HPWMISVC.exe                 19764 Services                   0      5,688 K
esrv_svc.exe                 15732 Services                   0     32,156 K
ModuleCoreService.exe        18700 Console                    3     21,232 K
conhost.exe                  22364 Console                    3      3,752 K
HPAudioSwitch.exe            22628 Console                    3     26,396 K
svchost.exe                  15184 Console                    3      8,492 K
dllhost.exe                  20088 Console                    3     11,084 K
chrome.exe                   17180 Console                    3     22,316 K
jucheck.exe                  23812 Console                    3      9,656 K
Code.exe                     14100 Console                    3     59,904 K
Code.exe                     13524 Console                    3      7,348 K
Code.exe                      1204 Console                    3    198,896 K
Code.exe                      2008 Console                    3     17,784 K
Code.exe                     12908 Console                    3    169,948 K
Code.exe                      4272 Console                    3     52,840 K
winpty-agent.exe             18988 Console                    3      3,892 K
conhost.exe                  17300 Console                    3      5,152 K
cmd.exe                      17840 Console                    3      1,972 K
CodeHelper.exe               21828 Console                    3     11,976 K
conhost.exe                  16632 Console                    3      3,896 K
Code.exe                     19632 Console                    3     49,216 K
python.exe                   24736 Console                    3      5,280 K
conhost.exe                  13428 Console                    3      3,780 K
python.exe                    2528 Console                    3      5,044 K
conhost.exe                  21320 Console                    3      3,780 K
winpty-agent.exe             16664 Console                    3      5,308 K
conhost.exe                  13440 Console                    3      7,036 K
cmd.exe                       5412 Console                    3      3,024 K
Code.exe                     22996 Console                    3     15,468 K
python.exe                   21552 Console                    3      5,196 K
conhost.exe                  20196 Console                    3      3,844 K
Video.UI.exe                  3860 Console                    3     10,904 K
RuntimeBroker.exe             9404 Console                    3      5,232 K
python.exe                    4332 Console                    3      5,376 K
conhost.exe                  21256 Console                    3      3,972 K
Taskmgr.exe                   1624 Console                    3     46,956 K
Microsoft.Photos.exe         22652 Console                    3      4,696 K
RuntimeBroker.exe            22172 Console                    3     22,800 K
WinStore.App.exe             24532 Console                    3     64,784 K
RuntimeBroker.exe             6576 Console                    3     22,008 K
Calculator.exe               16680 Console                    3     37,340 K
notepad.exe                  21048 Console                    3     11,576 K
rundll32.exe                 22676 Console                    3      7,052 K
MicrosoftEdge.exe            16796 Console                    3     70,864 K
browser_broker.exe           23128 Console                    3     13,740 K
RuntimeBroker.exe            16908 Console                    3     16,924 K
MicrosoftEdgeCP.exe          24000 Console                    3     22,004 K
MicrosoftEdgeCP.exe           1408 Console                    3     20,460 K
SystemSettings.exe            8248 Console                    3     42,200 K
dllhost.exe                  11160 Console                    3      5,988 K
powershell.exe                8376 Console                    3     52,104 K
conhost.exe                  11728 Console                    3     13,152 K
HPAudioControl.exe           20176 Console                    3     27,824 K
RuntimeBroker.exe            10844 Console                    3      6,108 K
chrome.exe                   18076 Console                    3     82,628 K
MicrosoftEdgeCP.exe          22768 Console                    3     64,512 K
MicrosoftEdgeCP.exe           8332 Console                    3     22,736 K
chrome.exe                    1260 Console                    3     21,512 K
cmd.exe                      10828 Console                    3      3,244 K
conhost.exe                  22116 Console                    3     17,728 K
svchost.exe                  19180 Services                   0     20,696 K
smartscreen.exe              24836 Console                    3     28,204 K
audiodg.exe                   2736 Services                   0     21,680 K
notepad.exe                  12484 Console                    3     16,740 K
svchost.exe                  16556 Services                   0      9,664 K
svchost.exe                  18252 Services                   0     15,176 K
svchost.exe                  15724 Services                   0      8,192 K
EXCEL.EXE                    22908 Console                    3     67,996 K
python.exe                    8932 Console                    3     10,220 K
tasklist.exe                 22232 Console                    3      7,588 K
