
Image Name                     PID Session Name        Session#    Mem Usage
svchost.exe                   4852 Services                   0     12,684 K
HPCommRecovery.exe           12044 Services                   0     21,288 K
HPJumpStartBridge.exe        18412 Services                   0     14,244 K
HPSupportSolutionsFramewo     1656 Services                   0     25,524 K
IAStorDataMgrSvc.exe          3872 Services                   0     17,744 K
jhi_service.exe               7256 Services                   0      3,868 K
sedsvc.exe                   13664 Services                   0     10,528 K
SgrmBroker.exe                4768 Services                   0      4,580 K
svchost.exe                   9180 Services                   0      7,392 K
svchost.exe                   7556 Services                   0      7,280 K
svchost.exe                  18012 Services                   0     13,852 K
svchost.exe                  15824 Services                   0     12,572 K
svchost.exe                  16436 Services                   0      4,836 K
svchost.exe                   1632 Services                   0      4,240 K
svchost.exe                   9820 Services                   0      4,984 K
svchost.exe                  20092 Services                   0      6,752 K
svchost.exe                  10512 Services                   0      7,852 K
sedlauncher.exe              12792 Services                   0      3,944 K
conhost.exe                   2000 Services                   0      1,040 K
svchost.exe                  23292 Services                   0      7,728 K
svchost.exe                  23320 Services                   0      7,296 K
audiodg.exe                   3712 Services                   0     26,900 K
csrss.exe                    11120 Console                    3      5,344 K
winlogon.exe                  9740 Console                    3      7,652 K
dwm.exe                      10816 Console                    3    107,120 K
fontdrvhost.exe              17816 Console                    3      9,904 K
Supremo.exe                  24408 Console                    3     20,040 K
g2tray.exe                    6684 Console                    3     16,000 K
svchost.exe                   4136 Services                   0      4,852 K
conhost.exe                  14124 Services                   0      4,912 K
esrv.exe                     17780 Services                   0     18,352 K
dptf_helper.exe              16824 Console                    3      3,316 K
SynTPEnh.exe                 16600 Console                    3     14,548 K
sihost.exe                   22992 Console                    3     24,624 K
svchost.exe                  14112 Console                    3     21,504 K
McUICnt.exe                  23204 Console                    3      6,420 K
svchost.exe                  17552 Console                    3     29,944 K
igfxEM.exe                   24296 Console                    3     20,460 K
HPJumpStartLaunch.exe        15160 Console                    3      1,108 K
taskhostw.exe                20268 Console                    3     69,008 K
SynTPHelper.exe              14000 Console                    3      3,952 K
explorer.exe                  8744 Console                    3    134,560 K
svchost.exe                  16692 Services                   0      6,304 K
ShellExperienceHost.exe      14188 Console                    3     54,240 K
SearchUI.exe                 17700 Console                    3     87,860 K
RuntimeBroker.exe             8324 Console                    3     22,264 K
SupremoHelper.exe            18856 Console                    3     11,336 K
RuntimeBroker.exe            24804 Console                    3     18,356 K
RuntimeBroker.exe             4348 Console                    3     24,276 K
SettingSyncHost.exe           9896 Console                    3      4,188 K
ctfmon.exe                    8148 Console                    3     14,848 K
TabTip.exe                   10568 Console                    3     13,128 K
SkypeApp.exe                 16060 Console                    3        324 K
LockApp.exe                  20908 Console                    3     43,196 K
RuntimeBroker.exe            21672 Console                    3     24,048 K
SkypeBackgroundHost.exe      13480 Console                    3      9,736 K
RuntimeBroker.exe             6580 Console                    3     15,756 K
MSASCuiL.exe                 13608 Console                    3      8,064 K
RtkAudUService64.exe          1388 Console                    3     12,152 K
OneDrive.exe                  5772 Console                    3     37,432 K
chrome.exe                   19436 Console                    3    170,828 K
chrome.exe                   14028 Console                    3      5,816 K
GoogleCrashHandler.exe        8352 Console                    3        724 K
GoogleCrashHandler64.exe     14608 Console                    3        856 K
MSOSYNC.EXE                  19240 Console                    3     11,192 K
chrome.exe                   16472 Console                    3    132,188 K
chrome.exe                    6872 Console                    3     41,116 K
chrome.exe                   17576 Console                    3     12,808 K
chrome.exe                   21676 Console                    3     57,228 K
chrome.exe                    2868 Console                    3     97,144 K
chrome.exe                    3940 Console                    3     39,380 K
chrome.exe                   17604 Console                    3     34,912 K
chrome.exe                   18552 Console                    3     32,008 K
ciscowebexstart.exe           5288 Console                    3     15,708 K
chrome.exe                   14724 Console                    3     19,116 K
chrome.exe                    9628 Console                    3     53,664 K
atmgr.exe                    15924 Console                    3     39,692 K
MEGAsync.exe                 19952 Console                    3     33,552 K
HPMSGSVC.exe                 16596 Console                    3      7,376 K
RtlS5Wake.exe                19280 Console                    3     10,444 K
DSATray.exe                   9560 Console                    3     42,600 K
