
Image Name                     PID Session Name        Session#    Mem Usage
svchost.exe                   4852 Services                   0     11,312 K
HPCommRecovery.exe           12044 Services                   0     19,048 K
HPJumpStartBridge.exe        18412 Services                   0     11,836 K
HPSupportSolutionsFramewo     1656 Services                   0     18,672 K
IAStorDataMgrSvc.exe          3872 Services                   0     21,704 K
jhi_service.exe               7256 Services                   0      3,224 K
sedsvc.exe                   13664 Services                   0      9,108 K
SgrmBroker.exe                4768 Services                   0      4,636 K
svchost.exe                   9180 Services                   0      6,908 K
svchost.exe                   7556 Services                   0      7,664 K
svchost.exe                  18012 Services                   0      9,084 K
svchost.exe                  15824 Services                   0     12,072 K
svchost.exe                  16436 Services                   0      4,600 K
svchost.exe                   1632 Services                   0      3,780 K
svchost.exe                   9820 Services                   0      4,788 K
svchost.exe                  20092 Services                   0      6,064 K
svchost.exe                  10512 Services                   0      7,128 K
sedlauncher.exe              12792 Services                   0      3,928 K
conhost.exe                   2000 Services                   0      1,036 K
svchost.exe                  23320 Services                   0      7,084 K
csrss.exe                    11120 Console                    3      5,140 K
winlogon.exe                  9740 Console                    3      7,024 K
dwm.exe                      10816 Console                    3    104,060 K
fontdrvhost.exe              17816 Console                    3      7,596 K
Supremo.exe                  24408 Console                    3     20,184 K
g2tray.exe                    6684 Console                    3     14,500 K
svchost.exe                   4136 Services                   0      4,180 K
conhost.exe                  14124 Services                   0      4,296 K
esrv.exe                     17780 Services                   0     17,200 K
dptf_helper.exe              16824 Console                    3      2,968 K
SynTPEnh.exe                 16600 Console                    3     12,824 K
sihost.exe                   22992 Console                    3     24,296 K
svchost.exe                  14112 Console                    3     21,564 K
McUICnt.exe                  23204 Console                    3     30,108 K
svchost.exe                  17552 Console                    3     29,428 K
igfxEM.exe                   24296 Console                    3     17,064 K
HPJumpStartLaunch.exe        15160 Console                    3      1,040 K
taskhostw.exe                20268 Console                    3     60,512 K
SynTPHelper.exe              14000 Console                    3      3,344 K
explorer.exe                  8744 Console                    3    154,328 K
svchost.exe                  16692 Services                   0      5,336 K
ShellExperienceHost.exe      14188 Console                    3     63,620 K
SearchUI.exe                 17700 Console                    3     91,968 K
RuntimeBroker.exe             8324 Console                    3     30,352 K
SupremoHelper.exe            18856 Console                    3     10,044 K
RuntimeBroker.exe            24804 Console                    3     20,908 K
RuntimeBroker.exe             4348 Console                    3     29,432 K
SettingSyncHost.exe           9896 Console                    3      3,884 K
ctfmon.exe                    8148 Console                    3     14,616 K
TabTip.exe                   10568 Console                    3     12,224 K
SkypeApp.exe                 16060 Console                    3     23,932 K
LockApp.exe                  20908 Console                    3     38,164 K
RuntimeBroker.exe            21672 Console                    3     19,968 K
SkypeBackgroundHost.exe      13480 Console                    3      9,132 K
RuntimeBroker.exe             6580 Console                    3     16,744 K
MSASCuiL.exe                 13608 Console                    3      6,792 K
RtkAudUService64.exe          1388 Console                    3     11,224 K
OneDrive.exe                  5772 Console                    3     34,736 K
chrome.exe                   19436 Console                    3    231,300 K
chrome.exe                   14028 Console                    3      5,040 K
GoogleCrashHandler.exe        8352 Console                    3      1,300 K
GoogleCrashHandler64.exe     14608 Console                    3        812 K
